cvm,cnpj
1023,00.000.000/0001-91
14206,00.000.208/0001-00
2437,00.001.180/0001-26
14451,00.070.698/0001-11
14540,00.095.147/0001-02
14621,00.108.786/0001-65
14796,00.249.786/0001-85
15083,00.354.053/0001-00
22594,00.622.416/0001-41
15091,00.743.065/0001-27
20990,00.776.574/0001-56
15253,00.864.214/0001-06
15369,00.924.429/0001-75
15652,00.994.533/0001-36
21733,01.027.058/0001-91
15539,01.083.200/0001-18
19887,01.109.184/0001-95
18988,01.386.256/0001-41
16101,01.545.826/0001-07
16330,01.547.749/0001-16
16233,01.608.571/0001-76
16225,01.772.313/0001-20
16390,01.832.635/0001-18
16292,01.838.723/0001-27
19313,01.917.705/0001-30
18708,01.938.783/0001-11
16438,01.957.772/0001-89
16497,01.971.614/0001-83
18287,02.105.040/0001-23
18678,02.107.946/0001-87
16659,02.149.205/0001-69
16624,02.162.616/0001-94
19143,02.183.757/0001-93
16632,02.193.750/0001-52
16675,02.201.787/0001-85
16730,02.225.714/0001-23
16993,02.302.101/0001-42
16950,02.312.604/0001-07
20800,02.351.144/0001-18
17337,02.363.917/0001-86
17361,02.363.918/0001-20
18414,02.365.069/0001-44
17450,02.387.241/0001-60
17442,02.390.206/0001-09
18660,02.429.144/0001-93
17388,02.465.783/0001-04
17329,02.474.103/0001-19
17418,02.476.710/0001-18
17930,02.502.844/0001-66
17779,02.535.295/0001-26
22551,02.541.982/0001-54
17710,02.558.074/0001-73
17639,02.558.115/0001-21
17647,02.558.124/0001-12
17655,02.558.134/0001-58
17604,02.558.154/0001-29
17671,02.558.157/0001-62
17493,02.591.787/0001-39
17558,02.604.860/0001-60
17540,02.604.997/0001-14
17922,02.762.113/0001-50
17914,02.762.115/0001-49
17892,02.762.121/0001-04
17973,02.800.026/0001-40
18112,02.808.708/0001-07
18821,02.846.056/0001-97
22454,02.860.694/0001-62
18902,02.871.007/0001-04
20575,02.916.265/0001-60
19771,02.919.555/0001-67
21431,02.932.074/0001-91
20478,02.950.811/0001-89
18716,02.983.428/0001-27
18350,02.998.609/0001-27
18376,02.998.611/0001-04
19330,03.014.553/0001-91
20010,03.220.438/0001-73
19879,03.378.521/0001-75
19216,03.410.855/0001-89
21415,03.468.802/0001-19
19860,03.559.006/0001-91
18635,03.587.889/0001-43
19437,03.601.314/0001-38
18651,03.616.277/0001-31
18775,03.758.318/0001-24
18724,03.847.461/0001-92
20788,03.853.896/0001-40
18953,03.953.509/0001-47
19763,03.983.431/0001-03
19089,04.030.087/0001-09
19062,04.031.960/0001-70
19100,04.032.433/0001-80
18970,04.128.563/0001-10
19453,04.149.454/0001-80
18961,04.310.392/0001-46
21237,04.423.567/0001-21
21555,04.437.534/0001-30
19305,04.752.991/0001-10
20613,04.821.041/0001-08
23221,04.986.320/0001-13
19402,05.330.331/0001-03
21717,05.341.549/0001-63
80004,05.721.582/0001-19
80047,05.721.735/0001-28
20354,05.799.312/0001-20
22357,05.878.397/0001-32
21300,06.082.980/0001-03
19569,06.164.253/0001-87
19917,06.977.739/0001-34
19909,06.977.745/0001-91
