cd_cvm,dt_fim_exerc,ativo_total,ativo_financeiro,ativo_operacional,ativo_circulante,passivo,passivo_financeiro,passivo_operacional,patrimonio_liquido,passivo_circulante,lucro_liquido,receita_vendas,protecao_fiscal,res_opera_liq,res_opera_liq_cont,resultado_financeiro,fco,fco_investimento,fco_financeiro,ativo_operacional_liq,passivo_financeiro_liq,resultado_fin_liq,accrual
1023,2010,8.02819794e+18,6.7112128e+17,7.35707666e+18,2.52197e+17,1.7599798e+18,3.3310243e+17,1.42687737e+18,6.26821814e+18,0.0,2.552985e+16,8.5143206e+17,-1.7749771400000002e+16,5.99852886e+16,1.477588886e+17,-5.220521e+16,-2.3183893e+17,-1.1279463e+17,2.961145e+17,5.93019929e+18,-3.3801885e+17,-3.44554386e+16,2.918242186e+17
10456,2010,2.246603e+16,1.954299e+16,2923040000000000.0,1.473791e+16,8985300000000000.0,2761840000000000.0,6223460000000000.0,1.348073e+16,6227740000000000.0,716530000000000.0,2.239156e+16,30457200000000.004,657407200000000.0,3012987200000000.0,89580000000000.0,-9115110000000000.0,-450150000000000.0,7145340000000000.0,-3300420000000000.0,-1.678115e+16,59122800000000.0,9772517200000000.0
10472,2010,1.102477e+16,0.0,1.102477e+16,7864550000000000.0,6780130000000000.0,9030260000000000.0,-2250130000000000.0,4244640000000000.0,4706390000000000.0,-46980000000000.0,1.564936e+16,-111268400000000.02,169011600000000.0,826221600000000.0,-327260000000000.0,7.643911e+16,-7.134923e+16,938870000000000.0,1.32749e+16,9030260000000000.0,-215991600000000.0,-7.62700984e+16
10596,2010,2.34427923e+18,3369830000000000.0,2.3409094e+18,2.733189e+17,8.7247858e+17,642360000000000.0,8.7183622e+17,1.47180065e+18,4.1238379e+17,2.177232e+16,1816470000000000.0,4075274000000000.5,1.3861494e+16,-3.5261126e+16,1.19861e+16,2878000000000000.0,-4961630000000000.0,2268480000000000.0,1.46907318e+18,-2727470000000000.0,7910826000000000.0,1.0983494e+16
10880,2010,829170000000000.0,5.74779e+16,-5.664873e+16,407050000000000.0,188990000000000.0,3.8675356e+17,-3.8656457e+17,640180000000000.0,132320000000000.0,302960000000000.0,823930000000000.0,-3865800000000.0005,310464200000000.0,62684200000000.0,-11370000000000.0,1.236205e+16,-1.247005e+16,-1832450000000000.0,3.2991584e+17,3.2927566e+17,-7504200000000.0,-1.20515858e+16
10960,2010,1473460000000000.0,2.733927e+16,-2.586581e+16,324200000000000.0,351190000000000.0,0.0,351190000000000.0,1122270000000000.0,267500000000000.0,0.0,709190000000000.0,-4994600000000.0,9695400000000.0,30015400000000.0,-14690000000000.0,-64350000000000.0,72830000000000.0,-2180000000000.0,-2.6217e+16,-2.733927e+16,-9695400000000.0,74045400000000.0
11070,2010,5681100000000000.0,0.0,5681100000000000.0,3136900000000000.0,1318090000000000.0,6.016054e+16,-5.884245e+16,4363010000000000.0,1019770000000000.0,2.457379e+16,9827860000000000.0,18802000000000.0,2.4537292e+16,518402000000000.0,55300000000000.0,45190000000000.0,-4650000000000.0,-52940000000000.0,6.452355e+16,6.016054e+16,36498000000000.0,2.4492102e+16
1120,2010,2.598943e+16,5822950000000000.0,2.016648e+16,5103680000000000.0,5315160000000000.0,442020000000000.0,4873140000000000.0,2.067427e+16,0.0,317670000000000.0,3547200000000000.0,-136248200000000.02,582151800000000.0,945391800000000.0,-400730000000000.0,490160000000000.0,-1174830000000000.0,958080000000000.0,1.529334e+16,-5380930000000000.0,-264481800000000.0,91991800000000.0
11223,2010,5515560000000000.0,0.0,5515560000000000.0,1473910000000000.0,1.227215e+16,2495490000000000.0,9776660000000000.0,-6756590000000000.0,7806460000000000.0,485670000000000.0,3274850000000000.0,-392632000000000.0,1247838000000000.0,-621142000000000.0,-1154800000000000.0,6.803086e+16,-6.104347e+16,-6292370000000000.0,-4261100000000000.0,2495490000000000.0,-762168000000000.0,-6.6783022e+16
11231,2010,2635270000000000.0,691580000000000.0,1943690000000000.0,2034940000000000.0,413940000000000.0,2.146121e+16,-2.104727e+16,2221330000000000.0,237860000000000.0,183000000000000.0,1391800000000000.0,41748600000000.0,101958600000000.0,167768600000000.0,122790000000000.0,2979420000000000.0,-4915970000000000.0,1468910000000000.0,2.299096e+16,2.076963e+16,81041400000000.0,-2877461400000000.0
11312,2010,2.6886114e+17,72180000000000.0,2.6878896e+17,8.486797e+16,1.5549275e+17,628400000000000.0,1.5486435e+17,1.1336839e+17,6.690689e+16,-7840000000000.0,1.0263292e+17,-272867000000000.03,521843000000000.0,2.0238283e+16,-802550000000000.0,522140000000000.0,-2657080000000000.0,2143090000000000.0,1.1392461e+17,556220000000000.0,-529683000000000.0,-297000000000.0
11320,2010,7.3976386e+17,883710000000000.0,7.3888015e+17,2.1495565e+17,5.3144769e+17,1.597566e+16,5.1547203e+17,2.0831617e+17,1.7608807e+17,939200000000000.0,2.9431553e+17,-8022884800000001.0,1.65130352e+16,3.43579352e+16,-2.359672e+16,-308200000000000.0,-20000000000.0,308230000000000.0,2.2340812e+17,1.509195e+16,-1.55738352e+16,1.68212352e+16
11398,2010,4633620000000000.0,0.0,4633620000000000.0,1660670000000000.0,1136240000000000.0,402760000000000.0,733480000000000.0,3497380000000000.0,903660000000000.0,7689970000000000.0,2831810000000000.0,-5933000000000.0,7701487000000000.0,-257703000000000.0,-17450000000000.0,1.5379e+16,-2919580000000000.0,-1.509619e+16,3900140000000000.0,402760000000000.0,-11517000000000.0,-7677513000000000.0
1155,2010,9.698663e+16,137270000000000.0,9.684936e+16,3.60627e+16,1.49667e+16,8.4617323e+17,-8.3120653e+17,8.201993e+16,0.0,1.87841e+16,1.124049e+16,-224400000000000.03,1.92197e+16,1857350000000000.0,-660000000000000.0,2.718934e+16,-1.522231e+16,-4270630000000000.0,9.2805589e+17,8.4603596e+17,-435600000000000.0,-7969640000000000.0
