cd_cvm,dt_fim_exerc,ativo_total,ativo_financeiro,ativo_operacional,ativo_circulante,passivo,passivo_financeiro,passivo_operacional,patrimonio_liquido,resultado_abrangente,passivo_circulante,lucro_liquido,receita_vendas,protecao_fiscal,res_opera_liq,res_opera_liq_cont,resultado_financeiro,fco,fco_investimento,fco_financeiro,ativo_operacional_liq,passivo_financeiro_liq,resultado_fin_liq,lucro_abrangente
1023,2013,1162167882.0,56230388.0,1105937494.0,68841638.0,163430011.0,-30439863.0,132990148.0,998737871.0,-1696858.0,0.0,-6291375.0,104582211.0,-533854.4,-5255069.4,12325139.6,-1570160.0,-10716026.0,907069.0,18203017.0,972947346.0,-86670251.0,-1036305.6,-7988233.0
10456,2013,3361984.0,567.0,3361417.0,2184259.0,1527533.0,463290.0,1064243.0,1834451.0,0.0,1014522.0,137808.0,3425959.0,7485.780000000001,123276.78,295231.78,22017.0,-1119175.0,-39011.0,1298384.0,2297174.0,462723.0,14531.22,137808.0
10472,2013,1326029.0,476487.0,849542.0,949363.0,810288.0,-11298361.0,-10488073.0,515741.0,-4079.0,549896.0,309763.0,2143751.0,-13217.500000000002,335420.5,38678.5,-38875.0,9329355.0,-8155408.0,-77879.0,11337615.0,-11774848.0,-25657.5,305684.0
10596,2013,181125239.0,0.0,181125239.0,12259550.0,167287161.0,-60040739.0,107246422.0,13838078.0,-1092691.0,75591211.0,507038.0,91976.0,-344182.34,1175156.66,-2470765.34,-1012301.0,2337938.0,-3564466.0,1471014.0,73878817.0,-60040739.0,-668118.6599999999,-585653.0
10880,2013,127404.0,23945.0,103459.0,105015.0,32623.0,-1152907.0,-1120284.0,94781.0,0.0,27108.0,328347.0,168269.0,2060.4,324347.4,9090.4,6060.0,6849.0,-201.0,-5630.0,1223743.0,-1176852.0,3999.6,328347.0
10960,2013,139436.0,9131268.0,-8991832.0,65923.0,24091.0,0.0,24091.0,115345.0,0.0,18861.0,0.0,117861.0,1007.4200000000001,-1955.58,-17758.58,2963.0,-40669.0,-64943.0,9738.0,-9015923.0,-9131268.0,1955.58,0.0
11070,2013,689017.0,771.0,688246.0,355610.0,209174.0,-18272418.0,-18063244.0,479843.0,0.0,160116.0,27475.0,1134715.0,830.2800000000001,25863.28,18358.28,2442.0,445982.0,0.0,-452423.0,18751490.0,-18273189.0,1611.7199999999998,27475.0
11207,2013,211294.0,3405.0,207889.0,25802.0,199818.0,3902740.0,-3702922.0,11476.0,0.0,88441.0,1693702.0,11052.0,-57.46,1693813.54,-73567.46,-169.0,278485.0,-1169563.0,944312.0,3910811.0,3899335.0,-111.53999999999999,1693702.0
11223,2013,832116.0,70298.0,761818.0,493801.0,1744748.0,506253.0,1238495.0,-912632.0,0.0,1294811.0,96603.0,114594.0,-33809.26,162232.74,-89243.26000000001,-99439.0,698171.0,-447924.0,-211244.0,-476677.0,435955.0,-65629.73999999999,96603.0
11231,2013,244027.0,1.0,244026.0,115242.0,21879.0,-1302622.0,-1280743.0,222148.0,0.0,13970.0,-1617.0,152919.0,2871.3,-7190.7,16007.3,8445.0,-83659.0,-647707.0,587168.0,1524769.0,-1302623.0,5573.7,-1617.0
11312,2013,70096071.0,7560.0,70088511.0,17687138.0,58571933.0,-2276310.0,56295623.0,11524138.0,18307991.0,15540457.0,24209.0,28422147.0,-1113312.32,2185344.6799999997,3654150.6799999997,-3274448.0,8792.0,0.0,-8791.0,13792888.0,-2283870.0,-2161135.6799999997,18332200.0
11398,2013,559648.0,851173.0,-291525.0,324966.0,138199.0,22122.0,116077.0,421449.0,-84180.0,85691.0,-220459.0,404945.0,-138.72,-220189.72,11783.28,-408.0,1999454.0,-120814.0,-1870387.0,-407602.0,-829051.0,-269.28,-304639.0
1155,2013,14274712.0,276462.0,13998250.0,4815748.0,1888819.0,276145.0,1612674.0,12385893.0,0.0,0.0,402617.0,1368555.0,-13535.060000000001,428890.94,139749.94,-39809.0,2255324.0,-2765162.0,-1286480.0,12385576.0,-317.0,-26273.94,402617.0
11762,2013,1267560.0,30794784.0,-29527224.0,667608.0,1134086.0,110902.0,1023184.0,133474.0,0.0,609147.0,7890.0,1326837.0,-39908.18,85358.82,-49216.18,-117377.0,297652.0,53464.0,-568124.0,-30550408.0,-30683882.0,-77468.82,7890.0
11800,2013,3262986.0,52775.0,3210211.0,1569476.0,1624076.0,-12735160.0,-11111084.0,1638910.0,0.0,1005817.0,1694282.0,2398626.0,-36050.880000000005,1764263.12,57031.119999999995,-106032.0,3318683.0,-1512634.0,-757269.0,14321295.0,-12787935.0,-69981.12,1694282.0
11932,2013,6035705.0,0.0,6035705.0,2218944.0,4590545.0,204111.0,4386434.0,1445160.0,0.0,1834151.0,893999.0,6126493.0,-72394.16,1034528.84,351829.83999999997,-212924.0,775564.0,-599648.0,-135826.0,1649271.0,204111.0,-140529.84,893999.0
11975,2013,152651.0,0.0,152651.0,93392.0,112642.0,-831995.0,-719353.0,40009.0,0.0,51156.0,1493015.0,287589.0,-1655.8000000000002,1496229.2,10894.2,-4870.0,171162.0,-96528.0,-55247.0,872004.0,-831995.0,-3214.2,1493015.0
