cd_cvm,dt_fim_exerc,ativo_total,ativo_financeiro,ativo_operacional,ativo_circulante,passivo,passivo_financeiro,passivo_operacional,patrimonio_liquido,passivo_circulante,lucro_liquido,receita_vendas,protecao_fiscal,res_opera_liq,res_opera_liq_cont,resultado_financeiro,fco,fco_investimento,fco_financeiro,ativo_operacional_liq,passivo_financeiro_liq,resultado_fin_liq
1023,2018,1396507474.0,31420851.0,1365086623.0,60322132.0,1.953997450000001e+18,5.5817141e+17,1.395826040000001e+18,1.201107729e+19,0.0,1.3347577e+17,1.20250344e+18,-1.81155332e+16,1.686412168e+17,1.860264568e+17,-5.328098e+16,2.8442399e+17,-5.255804e+16,-1.2577971e+17,-1.3958260386349143e+18,5.5817140996857914e+17,-3.51654468e+16
10456,2018,3980105.0,0.0,3980105.0,2389312.0,1.510267e+16,2947660000000000.0,1.215501e+16,2.469838e+16,1.15961e+16,5093130000000000.0,3.904509e+16,-191974200000000.0,5465785800000000.0,3613065800000000.0,-564630000000000.0,-3539350000000000.0,-456280000000000.0,-487000000000000.0,-1.2155009996019896e+16,2947660000000000.0,-372655800000000.0
10472,2018,978674.0,0.0,978674.0,483634.0,8577560000000000.0,41800000000000.0,8535760000000000.0,1209180000000000.0,8000360000000000.0,25000000000000.0,1.445422e+16,-171162800000000.0,357257200000000.0,-2658672800000000.0,-503420000000000.0,2.410161e+16,4213080000000000.0,-3.068044e+16,-8535759999021326.0,41800000000000.0,-332257200000000.0
10880,2018,80417.0,13391.0,67026.0,41266.0,197720000000000.0,2.8449504e+17,-2.8429732e+17,606450000000000.0,114160000000000.0,3.205956e+16,488630000000000.0,19672400000000.0,3.20213724e+16,31532400000000.0,57860000000000.0,18770000000000.0,-2850000000000.0,-18790000000000.0,2.8429732000006704e+17,2.8449503999998662e+17,38187600000000.0
11070,2018,506836.0,186886.0,319950.0,180715.0,1182880000000000.0,1.82743e+16,-1.709142e+16,3885480000000000.0,711060000000000.0,2.326382e+16,7522960000000000.0,16044600000000.002,2.32326746e+16,131454600000000.0,47190000000000.0,20400000000000.0,0.0,-6120000000000.0,1.709142000031995e+16,1.827429999981311e+16,31145400000000.0
11207,2018,228742.0,482842.0,-254100.0,39909.0,2276070000000000.0,1.08435e+16,-8567430000000000.0,11350000000000.0,1307420000000000.0,7180000000000.0,24620000000000.0,-6800000000.000001,7193200000000.0,-11736800000000.0,-20000000000.0,6156030000000000.0,-332820000000000.0,4898900000000000.0,8567429999745900.0,1.0843499999517158e+16,-13200000000.0
11223,2018,965579.0,3657.0,961922.0,60766.0,2.400739e+16,1692000000000000.0,2.231539e+16,-1.43516e+16,2.071721e+16,885610000000000.0,1491570000000000.0,-368383200000000.0,1600706800000000.0,-541033200000000.0,-1083480000000000.0,1453830000000000.0,-5435270000000000.0,4759910000000000.0,-2.231538999903808e+16,1691999999996343.0,-715096800000000.0
11231,2018,214634.0,56595.0,158039.0,108238.0,412590000000000.0,6.070436e+16,-6.029177e+16,1733750000000000.0,332970000000000.0,2.90721e+16,1371700000000000.0,29688800000000.004,2.90144688e+16,-50451200000000.0,87320000000000.0,-2.108294e+16,2.578109e+16,-5542180000000000.0,6.029177000015804e+16,6.070435999994341e+16,57631200000000.0
11312,2018,65437797.0,3980.0,65433817.0,21313484.0,4.2541986e+17,2.2305712e+17,2.0236274e+17,2.2895811e+17,1.0689459e+17,1.6335466e+17,2.2060014e+17,9.04701444e+16,-1.22638556e+16,7.05370344e+16,2.6608866e+17,4311640000000000.0,6711560000000000.0,5481280000000000.0,-2.0236273993456618e+17,2.2305711999999603e+17,1.756185156e+17
1155,2018,27975320.0,409325.0,27565995.0,2812500.0,2.571124e+16,1.191305e+16,1.379819e+16,2.5404196e+17,0.0,356980000000000.0,2.164884e+16,-262558200000000.03,866651800000000.0,2047001800000000.0,-772230000000000.0,-9682780000000000.0,-3.231188e+16,3.984723e+16,-1.3798189972434004e+16,1.1913049999590676e+16,-509671800000000.0
