cd_cvm,dt_fim_exerc,ativo_total,ativo_financeiro,ativo_operacional,ativo_circulante,passivo,passivo_financeiro,passivo_operacional,patrimonio_liquido,passivo_circulante,lucro_liquido,receita_vendas,protecao_fiscal,res_opera_liq,res_opera_liq_cont,resultado_financeiro,fco,fco_investimento,fco_financeiro,ativo_operacional_liq,passivo_financeiro_liq,resultado_fin_liq
1023,2020,1693794003.0,159404948.0,1534389055.0,176189508.0,16768993830.000002,6136123370.0,10632870460.000002,168946200.0,30983150.0,13292883.0,98659704.0,583399.2000000001,12160402.2,12160402.2,1715880.0,206975326.0,-95707601.0,-17334908.0,-10632870458.465614,6136123369.840595,1132480.7999999998
10456,2020,4814586.0,0.0,4814586.0,2679455.0,17960340.0,126985300.0,-109024960.0,30185520.0,12770510.0,22027.0,3364278.0,-25105.94,70762.06,257279.06,-73841.0,2774176.0,-306607.0,-57073.0,109024960.0048146,126985300.0,-48735.06
10472,2020,333193.0,0.0,333193.0,145597.0,8783120.0,9717320.0,-934200.0,-5451190.0,2138490.0,176080.0,246325.0,-10095.96,195678.04,-392516.96,-29694.0,4198719.0,2441552.0,-6688971.0,934200.000333193,9717320.0,-19598.04
10880,2020,98076.0,18617.0,79459.0,58937.0,280790.0,2778206210.0,-2777925420.0,699970.0,183720.0,-412911.0,64318.0,1420.86,-415669.14,18342.86,4179.0,3819.0,-19.0,-179.0,2777925420.000079,2778206209.9999814,2758.14
11070,2020,569367.0,25001.0,544366.0,243326.0,1071850.0,2431090.0,-1359240.0,4621820.0,548590.0,927697.0,991223.0,-73.10000000000002,927838.9,54649.9,-215.0,333623.0,-253889.0,40514.0,1359240.000544366,2431089.999974999,-141.89999999999995
11207,2020,234944.0,0.0,234944.0,39758.0,2348880.0,283960.0,2064920.0,560000000000.0,1380230.0,-201649.0,0.0,0.0,-201649.0,-706.0,0.0,232873.0,-295982.0,79052.0,-2064919.999765056,283960.0,0.0
11223,2020,1002531.0,456361.0,546170.0,68365.0,26806860.0,230858210.0,-204051350.0,-16781550.0,23435110.0,-17905.0,132099.0,-40449.460000000014,60614.53999999999,-37263.460000000014,-118969.0,-61768.0,-1988551.0,5148799.0,204051350.0005462,230858209.99954364,-78519.54
11231,2020,240763.0,767163.0,-526400.0,136921.0,503460.0,21977140.0,-21473680.0,1904170.0,381130.0,2108639.0,182413.0,92.14,2108460.14,17541.14,271.0,4806513.0,-5374480.0,966966.0,21473679.9994736,21977139.99923284,178.86
11312,2020,73839787.0,36735.0,73803052.0,33795738.0,660698770.0,3115990.0,657582780.0,77699100.0,180131080.0,80509.0,9284303.0,-4347774.48,8520306.52,-2608073.4800000004,-12787572.0,2182649.0,-745291.0,-1142509.0,-657582779.9261969,3115989.999963265,-8439797.52
1155,2020,30530922.0,8313955.0,22216967.0,2082199.0,303400590.0,158480280.0,144920310.0,1908630.0,0.0,340688.0,1543454.0,-37454.74000000001,413394.26,294360.26,-110161.0,3543000.0,-4803000.0,2279000.0,-144920309.97778305,158480279.99168605,-72706.26
11592,2020,4508297.0,272994.0,4235303.0,1880619.0,27692580.0,5056240.0,22636340.0,17390390.0,12201590.0,3905000.0,3868223.0,-50103.42000000001,4002259.58,467474.58,-147363.0,86863.0,-112991.0,4780.0,-22636339.995764695,5056239.999727006,-97259.58
11762,2020,1679254.0,0.0,1679254.0,1110885.0,5538600.0,4582510.0,956090.0,11253940.0,3051750.0,3432.0,1179227.0,-20.74,3472.26,31594.26,-61.0,29188.0,-6462.0,-17740.0,-956089.998320746,4582510.0,-40.26
11932,2020,12411803.0,98381.0,12313422.0,5161926.0,86090420.0,1864360.0,84226060.0,38027610.0,43524510.0,-36869.0,8760568.0,-79215.24,116901.76,-266143.24,-232986.0,29188.0,-6462.0,-17740.0,-84226059.98768657,1864359.9999016193,-153770.76
11975,2020,63722.0,97500.0,-33778.0,39712.0,3037360.0,55925750.0,-52888390.0,-2400140.0,1576930.0,1227851.0,25536.0,-5691.6,1238899.4,-25820.6,-16740.0,29188.0,-6462.0,-17740.0,52888389.99996623,55925749.999902494,-11048.4
11991,2020,183884.0,78169.0,105715.0,44330.0,3689120.0,409220.0,3279900.0,-1850280.0,1214090.0,38418.0,146264.0,-4473.04,47100.96,33554.96,-13156.0,-452895.0,-237933.0,693784.0,-3279899.999894285,409219.999921831,-8682.96
1210,2020,92582439.0,439747.0,92142692.0,6979678.0,905694850.0,6880070.0,898814780.0,20129540.0,29796310.0,80144.0,7382705.0,-55677.72,188224.28,727944.28,-163758.0,28350.0,-100992.0,390226.0,-898814779.9078573,6880069.999560253,-108080.28
12190,2020,674947.0,139773.0,535174.0,282846.0,9201080.0,3159990.0,6041090.0,-2451610.0,4896010.0,908814.0,1153013.0,-25868.9,959030.1,90172.1,-76085.0,4417630.0,-1430989.0,-587042.0,-6041089.999464826,3159989.999860227,-50216.1
12319,2020,190625.0,101054.0,89571.0,18.0,1294520.0,708567770.0,-707273250.0,611730.0,336020.0,-54834.0,0.0,-55.42,-54726.42,-6372.42,-163.0,514326.0,-682347.0,-9064.0,707273250.0000896,708567769.999899,-107.58
12572,2020,44051.0,36204.0,7847.0,19062.0,1089260.0,0.0,1089260.0,-648750.0,247020.0,56151.0,28515.0,-690.5400000000002,57491.46,-28.540000000000077,-2031.0,-272774.0,816200.0,-501722.0,-1089259.999992153,-36204.0,-1340.46
12653,2020,35270261.0,484148.0,34786113.0,10785871.0,308855000.0,14187830.0,294667170.0,43847610.0,36134720.0,14833.0,11948794.0,-2389904.54,4654059.46,2249736.46,-7029131.0,-2149.0,0.0,244.0,-294667169.9652139,14187829.999515852,-4639226.46
12696,2020,399452.0,0.0,399452.0,221499.0,17787070.0,3040690.0,14746380.0,-13792550.0,3591310.0,-140567.0,511424.0,-30758.44,-80859.44,-80859.44,-90466.0,-840.0,114.0,0.0,-14746379.999600548,3040690.0,-59707.56
12823,2020,483857.0,0.0,483857.0,145286.0,2224940.0,9511580.0,-7286640.0,2613630.0,582770.0,16431.0,17825.0,527.34,15407.34,64397.34,1551.0,-800.0,1606.0,-651.0,7286640.000483858,9511580.0,1023.66
13030,2020,1577208.0,0.0,1577208.0,83136.0,13544150.0,784020.0,12760130.0,2227930.0,4180630.0,-1369.0,96184.0,24507.54,-48942.46,11390.54,72081.0,1438758.0,-448563.0,-967577.0,-12760129.998422792,784020.0,47573.46
1325,2020,11253275.0,587245.0,10666030.0,1905048.0,24926390.0,700930.0,24225460.0,87606360.0,0.0,63814.0,2225225.0,-25904.6,114099.4,234710.4,-76190.0,107418.0,4850.0,-83650.0,-24225459.98933397,700929.999412755,-50285.4
13285,2020,2031804.0,0.0,2031804.0,1347961.0,13341080.0,488810.0,12852270.0,6976960.0,7657140.0,833308.0,1564081.0,-9802.88,852337.12,57447.12,-28832.0,427194.0,-19405.0,-89642.0,-12852269.997968197,488810.0,-19029.12
13439,2020,237249.0,0.0,237249.0,78180.0,2454310.0,4618450.0,-2164140.0,-81820.0,1724930.0,182046.0,195289.0,-22442.04,225609.96,37854.96,-66006.0,115054.0,58090.0,-67352.0,2164140.000237249,4618450.0,-43563.96
13471,2020,605117.0,8016.0,597101.0,168283.0,7943330.0,2040520.0,5902810.0,-1892160.0,2740440.0,131317.0,369188.0,-11105.42,152874.58,-95455.42,-32663.0,203723.0,-10061.0,-607.0,-5902809.999402899,2040519.999991984,-21557.58
