,cd_cvm,dt_fim_exerc,ativo_operacional,passivo_operacional,ativo_operacional_liquido,ativo_financeiro,passivo_financeiro,passivo_financeiro_liquido,patrimonio_liquido,resultado_operacional_liquido,resultado_operacional_liquido_continuado,resultado_financeiro,protecao_fiscal,resultado_financeiro_liquido,resultado_abrangente,lucro_liquido,lucro_abrangente,fluxo_caixa_operacional,fluxo_caixa_investimentos,fluxo_caixa_financeiro,ativo_circulante,passivo_circulante,receita_vendas,liquidez_corrente,margem_operacional_liquida_continuada,margem_operacional_liquida,giro,rspla,rspl,alavancagem,raol,cpfl,spread
0,2437,2013,132498481,74967359,57531122,6095908,2049734,-4046174,61577296,-6440272.1,-6440272.1,376685,128072.90000000001,248612.09999999998,576729.0,-6191660,-5614931.0,9329354,-8155408,-77878,39079833,25620305,23835644,1.5253461268318234,-0.2701950113032398,-0.2701950113032398,0.414308693649326,-0.09118508548995072,-0.10055102127251576,-0.06570886126600947,-0.11194414216361015,-0.06144374908246654,-0.17338789124607668
1,14451,2013,2434536,1772860,661676,295,119207,118912,542764,-72899.2,-72899.2,-3430,-1166.2,-2263.8,7157.0,-75163,-68006.0,0,0,0,520802,897302,1608673,0.5804088255682034,-0.045316357022216446,-0.045316357022216446,2.4312095345758347,-0.12529570863211267,-0.1384819184765386,0.21908601159988503,-0.1101735592646552,-0.01903760764262648,-0.12921116690728168
2,11258,2013,723830,1056477,-332647,449230,0,-449230,116583,-101175.54000000001,-101175.54000000001,-67531,-22960.54,-44570.46,-214.0,-145746,-145960.0,-133766,-227051,232962,576062,289525,43967,1.989679647698817,-2.30116996838538,-2.30116996838538,-0.13217314450453485,-1.2519835653568703,-1.2501479632536476,-3.8533062281807813,0.3041528707608967,0.0992152349575941,0.4033681057184908
3,15083,2013,91797,7573089,-7481292,0,446872,446872,-7928164,-540806.76,-540806.76,-645614,-219508.76,-426105.24,0.0,-966912,-966912.0,6849,-201,-5630,34852,7035196,43771,0.004953948688849607,-12.355366795366795,-12.355366795366795,-0.005850727387729285,0.12195913202602772,0.12195913202602772,-0.0563651306910402,0.07228788289509352,-0.9535286166956085,-0.881240733800515
4,22594,2013,1749172,982915,766257,0,122751,122751,643506,41728.979999999996,41728.979999999996,-112453,-38234.020000000004,-74218.98,-11469.0,-32490,-43959.0,-40669,-64943,9738,83637,220933,211340,0.3785627316878873,0.19744951263367083,0.19744951263367083,0.2758082471024734,-0.06831171737326458,-0.05048903972923329,0.19075346616814762,0.054458203970730444,-0.6046303492435906,-0.5501721452728602
5,15091,2013,31543372,4219225,27324147,0,0,0,27324147,-514664.83999999997,-514664.83999999997,50624,17212.16,33411.84,1543166.0,-481253,1061913.0,445982,0,-452423,1899224,3892131,0,0.48796507620118645,0.0,0.0,0.0,0.038863537075832594,-0.01761273645614628,0.0,-0.01883553181001405,0.0,-0.01883553181001405
6,20990,2013,4824148,5277304,-453156,1789328,506499,-1282829,829673,178933.52000000002,178933.52000000002,-512872,-174376.48,-338495.52,-214.0,-159562,-159776.0,278485,-1169563,944312,4142478,2556308,6088500,1.6204925228102405,0.029388768990720213,0.029388768990720213,-13.435770463151762,-0.19257707554663103,-0.19231914260196487,-1.5461862685660495,-0.39486075435390905,0.26386643894080974,-0.1309943154130993
7,15253,2013,5103403,3157189,1946214,423577,543275,119698,1826516,334157.62,303644.62,-199107,-67696.38,-131410.62,-11442.0,202747,191305.0,698182,-447924,-211244,1370079,1156481,2804948,1.1846965060385775,0.10825320825911924,0.11913148479044888,1.4412330812541683,0.10473765354368646,0.11100203885429966,0.06553350750828353,0.1560181048949396,-1.0978514260889907,-0.941833321194051
8,15369,2013,4054783,2525610,1529173,0,0,0,1529173,264313.45999999996,264313.45999999996,-163431,-55566.54,-107864.45999999999,-231.0,156449,156218.0,-83659,-647707,587168,341221,304410,1276263,1.120925725173286,0.20709952415763833,0.20709952415763833,0.8346099492993926,0.10215848697302399,0.10230954901767164,0.0,0.17284732335713485,0.0,0.17284732335713485
9,15652,2013,12984,924035,-911051,0,19865,19865,-930916,-81800.0,-81800.0,0,0.0,0.0,0.0,-81800,-81800.0,8792,0,-8791,3995,30508,10794,0.13094925921069883,-7.57828423198073,-7.57828423198073,-0.01184785484017909,0.08787044158656634,0.08787044158656634,-0.021339197091896585,0.08978641151812577,0.0,0.08978641151812577
10,15539,2013,18880536,10236268,8644268,1913666,820322,-1093344,9737612,1292953.34,1292953.34,-256649,-87260.66,-169388.34,173876.0,1123565,1297441.0,1961757,-690552,-1263301,4696576,3465785,10592225,1.3551261835341777,0.1220662646422258,0.1220662646422258,1.2253466690296968,0.13324016196168012,0.1153840387150361,-0.11228050573384933,0.14957349078024884,0.15492684827465097,0.3045003390548998
11,16101,2013,6374061,3814329,2559732,1808969,1154218,-654751,3214483,974929.98,343807.98,-162503,-55251.020000000004,-107251.98,0.0,867678,867678.0,297652,53464,-568124,5679907,2683023,2481211,2.1169803613312297,0.13856458801770585,0.39292505957776264,0.9693245230360054,0.26992769910433495,0.26992769910433495,-0.20368780920602161,0.13431405318994333,0.16380575211034423,0.2981198053002876
