cd_cvm,dt_fim_exerc,ativo_total,ativo_financeiro,ativo_operacional,ativo_circulante
1023,2010,802819794.0,67112128.0,735707666.0,25219700.0
10456,2010,2246603.0,1954299.0,292304.0,1473791.0
10472,2010,1102477.0,0.0,1102477.0,786455.0
10596,2010,234427923.0,336983.0,234090940.0,27331890.0
10880,2010,82917.0,5747790.0,-5664873.0,40705.0
10960,2010,147346.0,2733927.0,-2586581.0,32420.0
11070,2010,568110.0,0.0,568110.0,313690.0
1120,2010,2598943.0,582295.0,2016648.0,510368.0
11223,2010,551556.0,0.0,551556.0,147391.0
11231,2010,263527.0,69158.0,194369.0,203494.0
11312,2010,26886114.0,7218.0,26878896.0,8486797.0
11320,2010,73976386.0,88371.0,73888015.0,21495565.0
11398,2010,463362.0,0.0,463362.0,166067.0
1155,2010,9698663.0,13727.0,9684936.0,3606270.0
11592,2010,1009445.0,175091.0,834354.0,666925.0
11762,2010,1612649.0,25.0,1612624.0,941499.0
11800,2010,3467364.0,3145998.0,321366.0,1572148.0
11932,2010,2084398.0,0.0,2084398.0,941424.0
11975,2010,153548.0,36.0,153512.0,106739.0
11991,2010,194929.0,0.0,194929.0,64045.0
1210,2010,32688391.0,16641.0,32671750.0,4790260.0
12190,2010,670856.0,3331328.0,-2660472.0,246492.0
12262,2010,17683781.0,219453.0,17464328.0,5230996.0
12530,2010,1081082.0,0.0,1081082.0,774098.0
12572,2010,91447.0,279408.0,-187961.0,34354.0
12653,2010,12261243.0,5891.0,12255352.0,4127147.0
12696,2010,317926.0,0.0,317926.0,164799.0
12793,2010,30163492.0,172774.0,29990718.0,5898654.0
12823,2010,224880.0,159595.0,65285.0,91131.0
12858,2010,54530.0,0.0,54530.0,42079.0
12866,2010,1525496.0,0.0,1525496.0,32390.0
13030,2010,965109.0,96549.0,868560.0,117030.0
1325,2010,11043676.0,73116.0,10970560.0,3037861.0
13285,2010,993309.0,12372000.0,-11378691.0,461387.0
13412,2010,775148.0,1147160.0,-372012.0,245009.0
13471,2010,906111.0,45217.0,860894.0,322121.0
13765,2010,207140.0,182188.0,24952.0,34858.0
13773,2010,567422.0,597007.0,-29585.0,214527.0
13781,2010,1592521.0,0.0,1592521.0,414632.0
1384,2010,9337766.0,6521.0,9331245.0,8931.0
13986,2010,18913509.0,203157.0,18710352.0,5423823.0
140,2010,1112012.0,110299.0,1001713.0,683175.0
14010,2010,491648.0,0.0,491648.0,188089.0
14028,2010,5890527.0,33417.0,5857110.0,1191302.0
14109,2010,3711245.0,0.0,3711245.0,2342236.0
14133,2010,30723.0,343284.0,-312561.0,22155.0
14206,2010,7796225.0,172177.0,7624048.0,89521.0
14311,2010,17859432.0,0.0,17859432.0,4157790.0
14320,2010,31819559.0,0.0,31819559.0,12305384.0
14346,2010,4852128.0,2405724.0,2446404.0,2908287.0
14443,2010,23350584.0,52784.0,23297800.0,3590121.0
14451,2010,2119934.0,1291.0,2118643.0,449960.0
14460,2010,12042561.0,2941631.0,9100930.0,8189985.0
14540,2010,5835776.0,23548.0,5812228.0,998498.0
14559,2010,1582486.0,105096.0,1477390.0,703757.0
14621,2010,8541244.0,1696.0,8539548.0,1498838.0
14664,2010,700655.0,0.0,700655.0,355916.0
14761,2010,892703.0,5734.0,886969.0,604726.0
14796,2010,48918.0,8502.0,40416.0,10752.0
14826,2010,29932748.0,488225.0,29444523.0,14716365.0
14931,2010,1477740.0,0.0,1477740.0,637401.0
15083,2010,105689.0,674804.0,-569115.0,44686.0
15091,2010,44687577.0,29591.0,44657986.0,10987971.0
1520,2010,964056.0,2094.0,961962.0,484894.0
15253,2010,3634226.0,1951733.0,1682493.0,1182281.0
15300,2010,3384929.0,29180.0,3355749.0,677559.0
15369,2010,2284869.0,39.0,2284830.0,224285.0
15458,2010,598100.0,0.0,598100.0,252909.0
15539,2010,19590086.0,1522.0,19588564.0,6359009.0
15610,2010,869232.0,2499025.0,-1629793.0,220229.0
1562,2010,86585.0,0.0,86585.0,68830.0
15652,2010,21057.0,783839.0,-762782.0,2196.0
1597,2010,358172.0,10827.0,347345.0,162499.0
16101,2010,9549554.0,0.0,9549554.0,6127729.0
16225,2010,8296.0,16911.0,-8615.0,4304.0
16233,2010,8030.0,2072460.0,-2064430.0,4038.0
16292,2010,27751547.0,255109.0,27496438.0,9852130.0
16306,2010,5113503.0,6774073.0,-1660570.0,3726955.0
16330,2010,3642156.0,3337.0,3638819.0,1186350.0
16390,2010,14459063.0,487769.0,13971294.0,4505357.0
16438,2010,41755.0,0.0,41755.0,41461.0
16497,2010,175317.0,1640935.0,-1465618.0,4370.0
16624,2010,115798.0,0.0,115798.0,25480.0
16632,2010,773270.0,148203.0,625067.0,188859.0
